altitude,geo_altitude,height,horizontal_accuracy,location.lat,location.lon,pressure,speed_accuracy,time,velocity.x,velocity.y,velocity.z,vertical_accuracy
23.26,34.11765693185635,0.89,92.6,1.2794338464736938,103.8536376953125,1010.4587666715618,,2025-07-26T06:03:38.300000Z,0.4,-0.2,-0.2,45.0
23.26,33.94981537428669,0.89,92.6,1.2794384956359863,103.85363006591797,1010.4587666715618,,2025-07-26T06:03:38.500000Z,0.4,-0.2,-0.4,45.0
23.26,33.61413225914739,0.89,92.6,1.279443383216858,103.85363006591797,1010.4587666715618,,2025-07-26T06:03:38.800000Z,0.4,-0.2,-0.4,45.0
23.26,33.61413225914739,0.89,92.6,1.2794462442398071,103.85362243652344,1010.4587666715618,,2025-07-26T06:03:39Z,0.4,-0.2,-0.4,45.0
23.26,33.11060758643843,0.89,92.6,1.2794514894485474,103.85362243652344,1010.4587666715618,,2025-07-26T06:03:39.300000Z,0.4,-0.2,-0.2,45.0
23.26,33.27844914400808,0.89,92.6,1.279453158378601,103.85362243652344,1010.4587666715618,,2025-07-26T06:03:39.500000Z,0.4,-0.2,-0.2,45.0
23.26,33.61413225914739,0.89,92.6,1.2794543504714966,103.85362243652344,1010.4587666715618,,2025-07-26T06:03:39.800000Z,0.4,-0.2,-0.4,45.0
23.26,33.44629070157773,0.89,92.6,1.2794575691223145,103.85362243652344,1010.4587666715618,,2025-07-26T06:03:40Z,0.6000000000000001,-0.2,-0.4,45.0
23.26,33.27844914400808,0.89,92.6,1.2794605493545532,103.8536148071289,1010.4587666715618,,2025-07-26T06:03:40.300000Z,0.6000000000000001,-0.2,-0.4,45.0
23.26,26.900469956361217,0.89,92.6,1.2795474529266357,103.85374450683594,1010.4587666715618,,2025-07-26T06:03:40.500000Z,0.8,-0.4,-0.6000000000000001,45.0
23.26,26.56478684122191,0.89,92.6,1.2795500755310059,103.85374450683594,1010.4587666715618,,2025-07-26T06:03:40.800000Z,0.8,-0.4,-0.8,45.0
23.26,26.2291037260826,0.89,92.6,1.2795530557632446,103.85374450683594,1010.4587666715618,,2025-07-26T06:03:41Z,1.0,-0.4,-0.8,45.0
23.26,26.396945283652254,0.89,92.6,1.2795511484146118,103.8537368774414,1010.4587666715618,,2025-07-26T06:03:41.300000Z,1.0,-0.4,-0.8,45.0
23.26,27.236153071500524,0.89,92.6,1.2795461416244507,103.85372161865234,1010.4587666715618,,2025-07-26T06:03:41.500000Z,1.4000000000000001,-0.6000000000000001,-0.2,45.0
23.26,27.236153071500524,0.89,92.6,1.2795486450195312,103.85371398925781,1010.4587666715618,,2025-07-26T06:03:41.800000Z,1.6,-0.8,0.0,45.0
23.38,27.40399462907018,1.01,92.6,1.2795511484146118,103.85371398925781,1010.4454160714523,,2025-07-26T06:03:42Z,1.8,-0.8,0.0,45.0
23.38,27.236153071500524,1.01,92.6,1.2795566320419312,103.85371398925781,1010.4454160714523,,2025-07-26T06:03:42.300000Z,1.8,-0.8,0.0,45.0
23.38,27.068311513930873,1.01,92.6,1.2795614004135132,103.85371398925781,1010.4454160714523,,2025-07-26T06:03:42.500000Z,1.8,-0.8,0.0,45.0
23.38,27.068311513930873,1.01,92.6,1.2795637845993042,103.85371398925781,1010.4454160714523,,2025-07-26T06:03:42.800000Z,1.8,-0.8,0.0,45.0
23.38,27.068311513930873,1.01,92.6,1.2795650959014893,103.85372161865234,1010.4454160714523,,2025-07-26T06:03:43Z,1.8,-0.8,0.2,45.0
23.38,26.900469956361217,1.01,92.6,1.2795665264129639,103.85372161865234,1010.4454160714523,,2025-07-26T06:03:43.300000Z,1.8,-0.8,0.2,45.0
23.38,24.21500503524675,1.01,92.6,1.2795623540878296,103.85372924804688,1010.4454160714523,,2025-07-26T06:03:43.500000Z,1.8,-0.8,0.2,45.0
23.38,24.718529707955714,1.01,92.6,1.2795614004135132,103.85372161865234,1010.4454160714523,,2025-07-26T06:03:43.800000Z,1.8,-0.8,0.2,45.0
23.38,24.886371265525366,1.01,92.6,1.2795615196228027,103.85372161865234,1010.4454160714523,,2025-07-26T06:03:44Z,1.8,-0.8,0.2,45.0
